transaction_id,portfolio_id,instrument_id,txn_date,txn_type,quantity,price,fees,amount
84,3,56,2025-02-25,BUY,526363,299.10,327817.07,157762990.37
85,4,61,2025-02-25,BUY,105025,489.53,145665.55,51558553.80
86,5,301,2025-02-25,BUY,60447,2105.56,605625.95,127880411.27
87,6,398,2025-02-25,BUY,2239,1523.96,6586.72,3418733.16
88,7,142,2025-02-25,BUY,327487,325.55,165177.38,106778570.23
89,1,301,2025-02-27,SELL,6388,2061.40,16857.70,13151365.50
90,2,515,2025-02-27,BUY,963976,68.31,215535.72,66064736.28
91,3,200,2025-02-27,SELL,305127,670.32,425885.27,204106845.37
92,3,286,2025-02-27,DIVIDEND,0,0.00,0.00,2058638.96
93,4,522,2025-02-27,BUY,3225977,12.61,115255.38,40794825.35
94,5,203,2025-02-27,BUY,436639,674.00,1400375.57,295695061.57
95,6,411,2025-02-27,BUY,1995,2379.69,9164.42,4756645.97
96,7,340,2025-02-27,BUY,253358,225.91,88676.57,57324782.35
97,1,341,2025-02-28,DIVIDEND,0,0.00,0.00,208819.80
98,2,209,2025-02-28,BUY,4689,4594.73,70519.46,21615208.43
99,3,148,2025-02-28,SELL,139681,467.26,135901.97,65131442.09
100,4,24,2025-02-28,BUY,24278,1419.36,97631.58,34556853.66
101,5,227,2025-02-28,BUY,336148,343.65,549678.80,116066939.00
102,5,341,2025-02-28,DIVIDEND,0,0.00,0.00,1307303.71
103,6,518,2025-02-28,BUY,480577,11.72,10872.57,5643235.01
104,7,337,2025-02-28,BUY,105156,690.97,112572.44,72772213.76
105,1,522,2025-03-03,BUY,1790736,12.51,28678.74,22430786.10
106,2,414,2025-03-03,BUY,10188,7720.72,257463.40,78916158.76
107,4,464,2025-03-03,BUY,298282,398.24,336555.57,119124379.25
108,5,44,2025-03-03,BUY,78732,2711.77,1015935.75,214519011.39
109,6,262,2025-03-03,BUY,1525,1166.67,3434.47,1782606.22
110,7,116,2025-03-03,BUY,70060,1805.83,196013.42,126712463.22
111,2,479,2025-03-04,BUY,44819,866.27,127082.04,38952437.17
112,4,131,2025-03-04,BUY,77118,216.58,47321.55,16749537.99
113,5,131,2025-03-04,BUY,377196,219.31,393629.48,83116484.24
114,6,442,2025-03-04,BUY,3868,571.46,4266.91,2214674.19
115,7,511,2025-03-04,BUY,975798,99.81,150894.28,97545292.66
116,8,480,2025-03-04,BUY,1769,5244.19,21214.86,9298186.97
117,2,136,2025-03-05,BUY,4691,8930.39,137121.20,42029580.69
118,3,138,2025-03-05,DIVIDEND,0,0.00,0.00,4726179.32
119,3,186,2025-03-05,SELL,529954,337.15,372041.29,178301949.81
120,4,142,2025-03-05,BUY,69710,332.70,65710.19,23258227.19
121,5,17,2025-03-05,BUY,119882,817.29,466221.47,98444581.25
122,6,321,2025-03-05,BUY,9157,256.11,4527.11,2349726.38
123,7,23,2025-03-05,BUY,84292,1434.72,187366.66,121122784.90
124,8,366,2025-03-05,BUY,9017,718.14,14808.30,6490276.68
125,1,423,2025-03-06,SELL,47620,704.57,42952.13,33508671.27
126,2,374,2025-03-06,BUY,377680,145.08,179349.55,54973163.95
127,3,425,2025-03-06,SELL,45290,1175.18,110824.69,53113077.51
128,4,47,2025-03-06,BUY,104092,517.08,152496.53,53976387.89
129,7,515,2025-03-06,BUY,1666899,67.77,175019.16,113140764.39
130,8,414,2025-03-06,BUY,1034,7888.14,18652.16,8174988.92
131,2,513,2025-03-07,BUY,774801,91.97,233241.12,71491689.09
132,3,111,2025-03-07,SELL,32316,541.08,36409.01,17449132.27
133,4,65,2025-03-07,BUY,33662,1910.90,182247.98,64506963.78
134,5,446,2025-03-07,BUY,354790,734.28,1239638.84,261754840.04
135,6,254,2025-03-07,BUY,6350,714.21,8754.70,4543988.20
136,7,502,2025-03-07,BUY,117856,557.08,101720.40,65756940.88
137,8,395,2025-03-07,BUY,2969,4930.97,33479.31,14673529.24
138,2,398,2025-03-10,BUY,29014,1580.54,150100.40,46007887.96
139,2,479,2025-03-10,DIVIDEND,0,0.00,0.00,449394.17
140,3,286,2025-03-10,SELL,327077,517.48,352430.41,168903375.55
141,4,140,2025-03-10,BUY,19709,1853.19,103483.09,36628004.80
142,5,178,2025-03-10,DIVIDEND,0,0.00,0.00,3511553.35
143,5,321,2025-03-10,BUY,287645,270.92,370817.31,78299600.71
144,6,90,2025-03-10,BUY,2751,1823.80,9685.22,5026959.02
145,7,50,2025-03-10,BUY,120176,1128.24,210067.10,135797437.34
146,8,468,2025-03-10,BUY,12435,850.31,24180.04,10597784.89
147,2,513,2025-03-11,SELL,239688,94.86,74421.46,22662382.22
148,3,425,2025-03-11,BUY,54092,1209.96,136280.54,65585436.86
149,4,310,2025-03-11,BUY,58426,1336.02,221158.67,78279463.19
150,5,423,2025-03-11,BUY,279973,713.38,950384.15,200677522.89
151,6,31,2025-03-11,BUY,3396,1298.23,8510.62,4417299.70
152,7,381,2025-03-11,BUY,25448,4422.68,174372.50,112722733.14
153,8,489,2025-03-11,BUY,14745,1268.99,42789.47,18754047.02
154,9,255,2025-03-11,BUY,1151182,462.71,439958.51,533103381.73
155,2,492,2025-03-12,SELL,143302,546.41,256294.71,78045351.11
156,3,251,2025-03-12,SELL,210413,1376.44,603058.79,289017810.93
157,4,512,2025-03-12,BUY,931563,65.59,173115.01,61274332.18
158,5,1,2025-03-12,BUY,252693,244.31,293762.64,62029189.47
159,6,439,2025-03-12,BUY,3664,1938.59,13711.44,7116705.20
160,7,51,2025-03-12,BUY,119143,1693.28,312561.96,202055021.00
161,8,27,2025-03-12,BUY,15024,715.47,24581.65,10773802.93
162,9,4,2025-03-12,BUY,409610,893.65,302340.87,366350317.37
163,1,522,2025-03-13,BUY,2188272,12.65,35437.49,27717078.29
164,2,398,2025-03-13,BUY,4611,1529.95,23090.91,7077690.36
165,3,48,2025-03-13,DIVIDEND,0,0.00,0.00,2633583.75
166,3,388,2025-03-13,SELL,77803,789.14,127843.96,61269615.46
167,4,516,2025-03-13,BUY,42801,1004.94,121864.97,43134301.91
168,5,290,2025-03-13,BUY,915431,153.85,670170.37,141509229.72
169,6,516,2025-03-13,BUY,9714,1021.80,19160.45,9944925.65
170,7,277,2025-03-13,BUY,90947,1830.23,257889.02,166711816.83
171,8,140,2025-03-13,BUY,8709,1852.51,36894.60,16170404.19
172,9,13,2025-03-13,BUY,115335,1402.99,133651.72,161947503.37
173,4,515,2025-03-17,BUY,1142667,67.78,219435.10,77669404.36
174,6,305,2025-03-17,BUY,32595,78.91,4965.06,2577036.51
175,7,41,2025-03-17,BUY,109352,719.45,121889.46,78795185.86
176,8,29,2025-03-17,BUY,3370,2038.85,15712.64,6886637.14
177,2,414,2025-03-18,DIVIDEND,0,0.00,0.00,361859.87
178,3,388,2025-03-18,BUY,37084,791.83,61143.22,29425366.94
179,4,371,2025-03-18,BUY,18899,4861.86,260331.14,92144623.28
180,5,430,2025-03-18,BUY,159333,379.41,287658.10,60740191.63
181,7,178,2025-03-18,BUY,21802,2601.55,87875.40,56806868.50
182,8,158,2025-03-18,BUY,3672,1853.66,15565.63,6822205.15
183,8,414,2025-03-18,DIVIDEND,0,0.00,0.00,36725.86
184,9,283,2025-03-18,BUY,351979,327.42,95187.69,115340151.87
185,2,398,2025-03-19,SELL,9597,1507.45,47352.96,14419644.69
186,3,388,2025-03-19,DIVIDEND,0,0.00,0.00,1004200.54
187,4,391,2025-03-19,BUY,92993,535.03,140965.63,49895010.42
188,4,484,2025-03-19,DIVIDEND,0,0.00,0.00,125806.40
189,5,60,2025-03-19,BUY,36828,2486.33,435711.49,92002272.73
190,6,517,2025-03-19,BUY,504354,24.24,23599.88,12249140.84
191,7,521,2025-03-19,BUY,9785714,26.74,405408.39,262075400.75
192,8,447,2025-03-19,BUY,4674,2057.34,21990.18,9637997.34
193,9,240,2025-03-19,BUY,793418,194.23,127284.99,154232863.13
194,4,519,2025-03-20,BUY,7347495,12.34,256885.34,90924973.64
195,5,399,2025-03-20,BUY,129094,523.29,321447.90,67875047.16
196,6,521,2025-03-20,BUY,225763,27.01,11771.15,6109629.78
197,7,8,2025-03-20,BUY,41835,6508.16,421829.36,272690702.96
198,8,295,2025-03-20,BUY,11883,687.91,18693.55,8193128.08
199,9,182,2025-03-20,BUY,25497,3248.34,68408.40,82891333.38
200,2,62,2025-03-21,DIVIDEND,0,0.00,0.00,268619.21
201,3,56,2025-03-21,DIVIDEND,0,0.00,0.00,1934567.58
202,3,354,2025-03-21,SELL,47588,811.86,80446.73,38554346.95
203,4,30,2025-03-21,BUY,94313,974.67,260443.79,92184495.50
204,5,44,2025-03-21,DIVIDEND,0,0.00,0.00,1939937.98
205,5,181,2025-03-21,BUY,160315,722.56,551201.23,116388407.63
206,6,495,2025-03-21,BUY,24358,596.63,28053.59,14560767.13
207,7,197,2025-03-21,BUY,226750,446.79,156960.20,101466592.70
208,8,178,2025-03-21,BUY,5104,2706.56,31590.92,13845873.16
209,8,489,2025-03-21,DIVIDEND,0,0.00,0.00,58798.35
210,9,366,2025-03-21,BUY,150602,703.28,87481.83,106002856.39
211,2,202,2025-03-24,BUY,1760,4399.43,25344.16,7768340.96
212,3,111,2025-03-24,BUY,34076,602.58,42755.61,20576271.69
213,4,20,2025-03-24,BUY,33166,1250.71,117526.17,41598574.03
214,5,391,2025-03-24,BUY,118797,558.01,315434.77,66605348.74
215,6,520,2025-03-24,BUY,367829,24.99,17744.10,9209790.81
216,7,518,2025-03-24,BUY,17942532,11.65,323853.40,209354351.20
217,8,189,2025-03-24,BUY,4165,1569.49,14948.84,6551874.69
218,2,209,2025-03-25,SELL,1639,5194.23,27865.63,8485477.34
219,4,520,2025-03-25,BUY,1410848,25.40,101531.03,35937070.23
220,5,404,2025-03-25,BUY,269283,583.12,747186.44,157771489.40
221,6,9,2025-03-25,BUY,884,3025.27,5162.48,2679501.16
222,7,97,2025-03-25,BUY,165118,793.85,203082.12,131282006.42
223,8,249,2025-03-25,BUY,23512,1021.11,54903.00,24063241.32
224,9,315,2025-03-25,BUY,1466469,85.88,104021.66,126044379.38
225,10,399,2025-03-25,BUY,255495,522.01,436856.22,133807801.17
226,1,66,2025-03-26,DIVIDEND,0,0.00,0.00,325478.78
227,2,522,2025-03-26,BUY,754991,12.66,31285.58,9589471.64
228,4,166,2025-03-26,BUY,459673,219.44,285791.72,101156434.84
229,5,447,2025-03-26,BUY,71872,2002.61,684885.89,144616471.81
230,7,4,2025-03-26,BUY,193675,946.46,283997.58,183589638.08
231,8,210,2025-03-26,BUY,13154,977.55,29405.65,12888098.35
232,9,280,2025-03-26,BUY,1992177,79.12,130188.63,157751232.87
233,10,516,2025-03-26,BUY,55638,1022.07,186264.22,57052194.88
234,3,425,2025-03-27,BUY,34178,1315.61,93627.54,45058546.12
235,4,518,2025-03-27,BUY,6725609,11.63,221613.49,78440446.16
236,5,165,2025-03-27,BUY,272152,693.98,898712.10,189766757.06
237,6,207,2025-03-27,BUY,1599,5008.21,15458.69,8023586.48
238,7,473,2025-03-27,BUY,146102,663.10,150097.69,97030333.89
239,8,413,2025-03-27,BUY,13926,1276.80,40661.49,17821378.29
240,9,101,2025-03-27,BUY,108844,514.47,46251.24,56043223.92
241,10,517,2025-03-27,BUY,9774739,24.41,781538.26,239382917.25
242,1,341,2025-03-28,DIVIDEND,0,0.00,0.00,226776.73
243,4,142,2025-03-28,BUY,22067,365.57,22855.92,8089889.11
244,5,341,2025-03-28,DIVIDEND,0,0.00,0.00,1419722.00
245,6,37,2025-03-28,SELL,2364,545.91,2491.21,1288040.03
246,7,463,2025-03-28,BUY,78349,1479.51,179593.32,116097722.31
247,8,324,2025-03-28,BUY,27919,660.39,42163.27,18479591.68
248,9,330,2025-03-28,BUY,315010,359.60,93562.73,113371158.73
249,10,520,2025-03-28,BUY,8807661,25.17,726141.24,222414968.61
250,2,414,2025-04-01,SELL,3554,8868.28,103163.38,31414703.74
251,3,425,2025-04-01,BUY,23098,1335.88,64249.78,30920406.02
252,5,447,2025-04-01,SELL,33382,2078.66,330185.44,69059642.68
253,7,34,2025-04-01,BUY,179090,1082.91,300470.97,194238822.87
254,8,201,2025-04-01,BUY,6485,2322.80,34447.35,15097805.35
255,9,407,2025-04-01,BUY,195162,699.25,112716.26,136579744.76
256,10,518,2025-04-01,BUY,20520991,11.51,773661.43,236970267.84
257,3,286,2025-04-02,BUY,240224,635.64,317948.96,153013932.32
258,4,514,2025-04-02,SELL,218207,70.81,43777.21,15407460.46
259,7,522,2025-04-02,BUY,3472348,12.69,68269.02,44132365.14
260,8,61,2025-04-02,BUY,16325,549.88,20528.40,8997319.40
261,9,313,2025-04-02,BUY,238264,963.17,189548.44,229678285.32
262,10,111,2025-04-02,BUY,84255,580.06,160083.25,49033038.55
263,2,374,2025-04-03,SELL,155845,141.76,72312.83,22020274.37
264,3,251,2025-04-03,BUY,215263,1235.24,553669.42,266455137.54
265,7,516,2025-04-03,BUY,116153,1021.63,183849.68,118849239.07
266,8,362,2025-04-03,BUY,15970,772.41,28208.94,12363596.64
267,9,26,2025-04-03,BUY,270017,513.67,114560.30,138814192.69
268,10,380,2025-04-03,BUY,658591,177.99,383962.39,117606574.48
269,11,522,2025-04-03,BUY,5599847,12.61,228894.38,70842965.05
270,3,200,2025-04-04,BUY,305111,745.93,473898.94,228065347.17
271,4,517,2025-04-04,SELL,1843992,24.77,129410.61,45546271.23
272,7,481,2025-04-04,BUY,123112,1132.32,215977.43,139618157.27
273,8,86,2025-04-04,BUY,10773,983.24,24223.12,10616667.64
274,9,191,2025-04-04,BUY,1463785,123.53,149351.15,180970712.20
275,10,325,2025-04-04,BUY,545101,191.73,342329.51,104854544.24
276,11,399,2025-04-04,BUY,30168,526.05,51441.95,15921318.35
277,2,383,2025-04-07,BUY,19290,1133.81,71588.17,21942783.07
278,3,186,2025-04-07,BUY,557929,315.23,366215.12,176242173.79
279,5,404,2025-04-07,SELL,135995,520.35,336729.07,70428269.18
280,7,519,2025-04-07,BUY,9800110,12.21,185389.63,119844732.73
281,8,202,2025-04-07,BUY,1135,4359.22,11314.58,4959029.28
282,9,120,2025-04-07,BUY,426742,749.89,264314.99,320273873.37
283,10,276,2025-04-07,BUY,34148,4168.68,466273.92,142818358.56
284,11,287,2025-04-07,BUY,40900,712.13,94411.84,29220528.84
285,12,295,2025-04-07,BUY,30025,641.21,90339.48,19342669.73
286,2,398,2025-04-08,BUY,3433,1517.36,17050.27,5226147.15
287,3,111,2025-04-08,BUY,43125,568.37,51037.58,24561993.83
288,4,371,2025-04-08,BUY,4224,4895.72,58590.25,20738111.53
289,5,203,2025-04-08,BUY,68892,664.71,217902.95,46011104.27
290,6,9,2025-04-08,BUY,106,2871.81,587.63,304999.49
291,7,507,2025-04-08,BUY,381158,127.32,75186.61,48604223.17
292,8,5,2025-04-08,BUY,15316,996.07,34887.45,15290695.57
293,9,20,2025-04-08,BUY,89132,1201.59,88460.38,107188580.26
294,10,34,2025-04-08,BUY,87026,1087.14,309893.02,94919338.66
295,11,181,2025-04-08,BUY,34655,735.21,82588.81,25561291.36
296,12,492,2025-04-08,BUY,44648,500.90,104941.52,22469124.72
297,2,521,2025-04-09,BUY,569833,26.44,49314.86,15115699.38
298,3,286,2025-04-09,SELL,64181,614.70,82148.47,39369912.23
299,4,518,2025-04-09,BUY,908663,11.69,30095.54,10652366.01
300,5,404,2025-04-09,DIVIDEND,0,0.00,0.00,554976.19
301,7,513,2025-04-09,BUY,1314489,97.84,199256.37,128808860.13
302,8,473,2025-04-09,BUY,21139,617.58,29854.63,13084878.25
303,8,489,2025-04-09,DIVIDEND,0,0.00,0.00,52156.74
304,9,222,2025-04-09,BUY,167365,835.66,115518.92,139975754.82
305,10,68,2025-04-09,BUY,106335,921.67,321017.70,98326797.15
306,11,199,2025-04-09,BUY,86741,393.58,110662.72,34250185.50
307,12,8,2025-04-09,BUY,4151,6759.50,131662.35,28190346.85
308,3,48,2025-04-11,BUY,84869,572.41,101154.71,48681019.00
309,4,310,2025-04-11,BUY,14432,1363.48,55751.96,19733495.32
310,7,495,2025-04-11,BUY,152539,653.81,154515.22,99886038.81
311,8,34,2025-04-11,BUY,4439,1108.58,11253.46,4932240.08
312,9,340,2025-04-11,BUY,344306,246.38,70066.25,84900178.53
313,10,480,2025-04-11,BUY,12486,5463.03,223426.26,68434818.84
314,11,141,2025-04-11,BUY,7579,1020.43,25069.12,7758908.09
315,12,473,2025-04-11,BUY,68179,607.02,194199.42,41580216.00
316,1,423,2025-04-15,SELL,48096,708.31,43611.75,34023266.01
317,3,180,2025-04-15,SELL,1512429,223.59,704137.01,337459863.10
318,4,50,2025-04-15,SELL,17343,1174.35,57704.09,20309047.96
319,7,245,2025-04-15,BUY,80611,1075.68,134343.36,86845983.84
320,8,28,2025-04-15,BUY,5396,1299.54,16035.98,7028353.82
321,9,1,2025-04-15,BUY,630201,278.35,144886.91,175561335.26
322,10,262,2025-04-15,BUY,47491,1446.24,224972.26,68908356.10
323,11,516,2025-04-15,BUY,38780,1024.08,128731.72,39842554.12
324,12,249,2025-04-15,BUY,21939,1049.05,107995.91,23123103.86
325,13,447,2025-04-15,BUY,13378,2180.29,39939.28,29207858.90
326,1,522,2025-04-16,SELL,4345065,12.68,70532.08,55024892.12
327,2,518,2025-04-16,SELL,2133723,11.53,80525.99,24521300.20
328,3,354,2025-04-16,SELL,94448,784.85,154350.92,73973161.88
329,4,520,2025-04-16,SELL,284171,25.24,20321.42,7152154.62
330,5,181,2025-04-16,DIVIDEND,0,0.00,0.00,1592100.75
331,5,430,2025-04-16,DIVIDEND,0,0.00,0.00,717053.12
332,5,446,2025-04-16,SELL,162402,767.64,593213.57,124073057.71
333,7,369,2025-04-16,BUY,31016,5155.74,247751.11,160158182.95
334,8,150,2025-04-16,BUY,23052,596.12,31425.07,13773183.31
335,9,236,2025-04-16,BUY,674481,193.04,107541.45,130309353.69
336,10,257,2025-04-16,BUY,59446,938.29,182699.36,55960286.70
337,11,181,2025-04-16,DIVIDEND,0,0.00,0.00,344161.50
338,11,519,2025-04-16,BUY,1962601,12.34,78503.87,24297000.21
339,12,414,2025-04-16,BUY,3670,8436.07,145278.23,31105655.13
340,13,468,2025-04-16,BUY,21276,816.59,23789.69,17397558.53
341,1,449,2025-04-17,DIVIDEND,0,0.00,0.00,993152.56
342,2,9,2025-04-17,BUY,2704,2847.49,25202.15,7724815.11
343,3,48,2025-04-17,BUY,110808,557.68,128672.57,61924078.01
344,5,34,2025-04-17,SELL,25501,1138.67,138171.09,28899052.58
345,7,512,2025-04-17,BUY,1941282,68.18,205061.64,132561668.40
346,8,24,2025-04-17,BUY,8143,1352.26,25181.33,11036634.51
347,9,13,2025-04-17,BUY,27696,1358.79,31083.38,37664131.22
348,10,521,2025-04-17,BUY,4374545,26.65,381862.84,116963487.09
349,11,152,2025-04-17,BUY,9716,2616.77,82413.23,25506950.55
350,12,428,2025-04-17,BUY,42877,737.34,148349.64,31763276.82
351,13,522,2025-04-17,BUY,7563511,12.73,131839.84,96415334.87
352,4,24,2025-04-21,SELL,24278,1343.63,92422.45,32528226.69
353,7,381,2025-04-21,DIVIDEND,0,0.00,0.00,882327.89
354,7,501,2025-04-21,BUY,139732,249.70,54057.16,34945137.56
355,8,487,2025-04-21,BUY,4778,1267.59,13850.29,6070395.31
356,9,4,2025-04-21,BUY,97391,910.33,73227.89,88731176.92
357,10,60,2025-04-21,BUY,37870,2584.67,320610.47,98202063.37
358,12,463,2025-04-21,BUY,28636,1553.43,208736.47,44692757.95
359,13,517,2025-04-21,BUY,2829764,24.87,96365.33,70472596.01
360,2,508,2025-04-22,SELL,61136,77.25,15458.39,4707297.61
361,3,186,2025-04-22,BUY,182625,312.69,118906.07,57223917.32
362,4,4,2025-04-22,DIVIDEND,0,0.00,0.00,290075.43
363,6,517,2025-04-22,SELL,84560,24.50,3999.20,2067720.80
364,7,4,2025-04-22,DIVIDEND,0,0.00,0.00,1019514.71
365,7,481,2025-04-22,SELL,32904,1068.59,54475.17,35106410.19
366,8,43,2025-04-22,BUY,6922,2049.22,32438.01,14217138.85
367,9,4,2025-04-22,DIVIDEND,0,0.00,0.00,2668878.15
368,10,497,2025-04-22,BUY,92330,1473.42,445601.55,136486470.15
369,11,31,2025-04-22,BUY,25526,1263.07,104509.09,32345633.91
370,12,150,2025-04-22,BUY,38431,564.60,101816.19,21799958.79
371,1,518,2025-04-23,BUY,1064553,11.51,15686.06,12268691.09
372,3,388,2025-04-23,BUY,20574,771.95,33070.27,15915169.57
373,7,178,2025-04-23,BUY,3376,2702.86,14137.25,9138992.61
374,8,29,2025-04-23,BUY,391,2057.45,1839.67,806302.62
375,10,519,2025-04-23,BUY,7204459,12.24,288841.83,88471419.99
376,11,521,2025-04-23,BUY,1008730,26.96,88153.33,27283514.13
377,12,487,2025-04-23,BUY,13983,1233.69,80946.99,17331634.26
378,3,48,2025-04-24,SELL,550198,547.64,627399.21,300683033.51
379,4,515,2025-04-24,SELL,345314,70.18,68661.36,24165475.16
380,6,254,2025-04-24,BUY,1947,758.57,2851.04,1479786.83
381,7,50,2025-04-24,SELL,32252,1186.00,59262.53,38191609.47
382,8,29,2025-04-24,SELL,833,2016.77,3841.81,1676127.60
383,8,366,2025-04-24,DIVIDEND,0,0.00,0.00,53249.82
384,9,366,2025-04-24,DIVIDEND,0,0.00,0.00,889378.82
385,10,385,2025-04-24,BUY,211009,295.09,203954.25,62470600.06
386,11,517,2025-04-24,BUY,1942930,24.66,155308.10,48067961.90
387,12,369,2025-04-24,BUY,5323,5015.94,125286.16,26825134.78
388,13,317,2025-04-24,BUY,106538,325.40,47469.75,34714934.95
389,3,200,2025-04-25,SELL,82313,637.87,109327.75,52395665.56
390,7,116,2025-04-25,BUY,14120,1909.79,41779.10,27008013.90
391,8,27,2025-04-25,SELL,6861,682.30,10705.25,4670555.05
