holding_id,portfolio_id,instrument_id,as_of_date,quantity,avg_cost,market_value,weight
85,1,2,2025-06-30,253.0,710.53,210377.09,0.062104
86,1,3,2025-06-30,84.0,2201.15,184896.6,0.054582
87,1,4,2025-06-30,126.0,2795.33,352211.58,0.103974
88,1,6,2025-06-30,217.0,2618.1,568127.7,0.167713
89,1,17,2025-06-30,173.0,2386.68,428687.08,0.12655
90,1,21,2025-06-30,2147.0,276.83,594354.01,0.175455
91,1,24,2025-06-30,433.0,419.19,181509.27,0.053582
92,1,27,2025-06-30,103.0,1295.42,165384.01,0.048822
93,1,35,2025-06-30,2537.0,148.47,355712.77,0.105007
94,1,1,2025-07-08,1126.0,307.5,346245.0,0.104207
95,1,2,2025-07-08,209.0,710.53,150225.02,0.045212
96,1,3,2025-07-08,84.0,2201.15,184896.6,0.055647
97,1,4,2025-07-08,126.0,2795.33,352211.58,0.106003
98,1,6,2025-07-08,217.0,2618.1,568127.7,0.170986
99,1,17,2025-07-08,173.0,2386.68,428687.08,0.129019
100,1,21,2025-07-08,2147.0,276.83,594354.01,0.178879
101,1,24,2025-07-08,433.0,419.19,181509.27,0.054628
102,1,27,2025-07-08,103.0,1295.42,160685.15,0.04836
103,1,35,2025-07-08,2537.0,148.47,355712.77,0.107057
104,1,1,2025-08-15,1126.0,307.5,346245.0,0.093386
105,1,2,2025-08-15,209.0,710.53,154726.88,0.041731
106,1,3,2025-08-15,84.0,2201.15,184896.6,0.049868
107,1,4,2025-08-15,126.0,2795.33,393426.18,0.106111
108,1,6,2025-08-15,217.0,2618.1,568127.7,0.15323
109,1,17,2025-08-15,173.0,2386.68,487759.66,0.131554
110,1,21,2025-08-15,2147.0,276.83,518114.04,0.13974
111,1,24,2025-08-15,433.0,419.19,157140.03,0.042382
112,1,27,2025-08-15,103.0,1295.42,160685.15,0.043338
113,1,35,2025-08-15,2537.0,148.47,393336.48,0.106087
114,1,45,2025-08-15,696.0,493.15,343232.4,0.092573
115,1,1,2025-08-25,1126.0,307.5,346245.0,0.093246
116,1,2,2025-08-25,209.0,710.53,154726.88,0.041669
117,1,3,2025-08-25,84.0,2201.15,184896.6,0.049794
118,1,4,2025-08-25,126.0,2795.33,393426.18,0.105952
119,1,6,2025-08-25,217.0,2618.1,590530.78,0.159034
120,1,17,2025-08-25,173.0,2386.68,470904.27,0.126818
121,1,21,2025-08-25,2147.0,276.83,518114.04,0.139532
122,1,24,2025-08-25,433.0,419.19,157140.03,0.042319
123,1,27,2025-08-25,103.0,1295.42,160685.15,0.043274
124,1,35,2025-08-25,2537.0,148.47,393336.48,0.105928
125,1,45,2025-08-25,696.0,493.15,343232.4,0.092435
126,1,1,2025-08-26,1126.0,307.5,346245.0,0.094503
127,1,2,2025-08-26,209.0,710.53,154726.88,0.04223
128,1,3,2025-08-26,84.0,2201.15,184896.6,0.050465
129,1,4,2025-08-26,103.0,2795.33,336776.01,0.091918
130,1,6,2025-08-26,217.0,2618.1,590530.78,0.161177
131,1,17,2025-08-26,173.0,2386.68,470904.27,0.128527
132,1,21,2025-08-26,2147.0,276.83,518114.04,0.141412
133,1,24,2025-08-26,433.0,419.19,157140.03,0.042889
134,1,27,2025-08-26,103.0,1295.42,160685.15,0.043857
135,1,35,2025-08-26,2537.0,148.47,400617.67,0.109343
136,1,45,2025-08-26,696.0,493.15,343232.4,0.09368
137,1,1,2025-09-26,1126.0,307.5,369474.38,0.099267
138,1,2,2025-09-26,209.0,710.53,146059.65,0.039242
139,1,3,2025-09-26,84.0,2201.15,184896.6,0.049676
140,1,4,2025-09-26,103.0,2795.33,362313.83,0.097343
141,1,6,2025-09-26,217.0,2618.1,590530.78,0.158658
142,1,17,2025-09-26,173.0,2386.68,470904.27,0.126518
143,1,21,2025-09-26,2147.0,276.83,518114.04,0.139202
144,1,24,2025-09-26,433.0,419.19,157140.03,0.042219
145,1,27,2025-09-26,103.0,1295.42,160685.15,0.043171
146,1,35,2025-09-26,2537.0,148.47,395112.38,0.106155
147,1,45,2025-09-26,696.0,493.15,366798.96,0.098548
148,1,1,2025-10-16,1126.0,307.5,369474.38,0.091885
149,1,2,2025-10-16,209.0,710.53,149970.04,0.037296
150,1,3,2025-10-16,84.0,2201.15,184896.6,0.045982
151,1,4,2025-10-16,103.0,2795.33,362313.83,0.090104
152,1,6,2025-10-16,217.0,2618.1,590530.78,0.14686
153,1,7,2025-10-16,2216.0,145.06,321452.96,0.079943
154,1,17,2025-10-16,173.0,2386.68,470904.27,0.11711
155,1,21,2025-10-16,2147.0,276.83,431997.87,0.107434
156,1,24,2025-10-16,433.0,419.19,162011.28,0.040291
157,1,27,2025-10-16,103.0,1295.42,165729.06,0.041215
158,1,35,2025-10-16,2537.0,148.47,444964.43,0.110659
159,1,45,2025-10-16,696.0,493.15,366798.96,0.09122
160,1,1,2025-10-20,1126.0,307.5,369474.38,0.093587
161,1,2,2025-10-20,209.0,710.53,149970.04,0.037987
162,1,3,2025-10-20,52.0,2201.15,111777.64,0.028313
163,1,4,2025-10-20,103.0,2795.33,362313.83,0.091773
164,1,6,2025-10-20,217.0,2618.1,590530.78,0.14958
165,1,7,2025-10-20,2216.0,145.06,321452.96,0.081423
166,1,17,2025-10-20,173.0,2386.68,470904.27,0.119279
167,1,21,2025-10-20,2147.0,276.83,431997.87,0.109424
168,1,24,2025-10-20,433.0,419.19,162011.28,0.041037
169,1,27,2025-10-20,103.0,1295.42,165729.06,0.041979
170,1,35,2025-10-20,2537.0,148.47,444964.43,0.112708
171,1,45,2025-10-20,696.0,493.15,366798.96,0.092909
172,1,1,2025-10-24,1126.0,307.5,369474.38,0.0944
173,1,2,2025-10-24,209.0,710.53,149970.04,0.038317
174,1,3,2025-10-24,52.0,2201.15,111777.64,0.028559
175,1,4,2025-10-24,103.0,2795.33,362313.83,0.092571
176,1,6,2025-10-24,217.0,2618.1,590530.78,0.15088
177,1,7,2025-10-24,2216.0,145.06,321452.96,0.082131
178,1,17,2025-10-24,173.0,2386.68,470904.27,0.120315
179,1,21,2025-10-24,2147.0,276.83,431997.87,0.110375
180,1,24,2025-10-24,433.0,419.19,162011.28,0.041394
181,1,27,2025-10-24,103.0,1295.42,163990.42,0.041899
182,1,35,2025-10-24,2537.0,148.47,412693.79,0.105443
183,1,45,2025-10-24,696.0,493.15,366798.96,0.093717
184,1,1,2025-11-03,1126.0,307.5,369474.38,0.086879
185,1,2,2025-11-03,209.0,710.53,149970.04,0.035264
186,1,3,2025-11-03,52.0,2201.15,111777.64,0.026284
187,1,4,2025-11-03,103.0,2795.33,362313.83,0.085195
188,1,6,2025-11-03,217.0,2618.1,485337.86,0.114123
189,1,7,2025-11-03,2216.0,145.06,321452.96,0.075587
190,1,17,2025-11-03,173.0,2386.68,470904.27,0.110729
191,1,21,2025-11-03,2147.0,276.83,431997.87,0.101581
192,1,24,2025-11-03,433.0,419.19,162011.28,0.038096
193,1,27,2025-11-03,103.0,1295.42,158293.49,0.037221
194,1,33,2025-11-03,415.0,1083.69,449731.35,0.105751
195,1,35,2025-11-03,2537.0,148.47,412693.79,0.097041
196,1,45,2025-11-03,696.0,493.15,366798.96,0.08625
197,1,1,2025-11-06,1126.0,307.5,369474.38,0.086568
198,1,2,2025-11-06,209.0,710.53,165237.49,0.038715
199,1,3,2025-11-06,52.0,2201.15,111777.64,0.02619
200,1,4,2025-11-06,103.0,2795.33,362313.83,0.08489
201,1,6,2025-11-06,217.0,2618.1,485337.86,0.113715
202,1,7,2025-11-06,2216.0,145.06,321452.96,0.075317
203,1,17,2025-11-06,173.0,2386.68,470904.27,0.110333
204,1,21,2025-11-06,2147.0,276.83,431997.87,0.101217
205,1,24,2025-11-06,433.0,419.19,162011.28,0.037959
206,1,27,2025-11-06,103.0,1295.42,158293.49,0.037088
207,1,33,2025-11-06,415.0,1083.69,449731.35,0.105372
208,1,35,2025-11-06,2537.0,148.47,412693.79,0.096694
209,1,45,2025-11-06,696.0,493.15,366798.96,0.085941
210,1,1,2025-11-07,1126.0,307.5,369474.38,0.086568
211,1,2,2025-11-07,209.0,710.53,165237.49,0.038715
212,1,3,2025-11-07,52.0,2201.15,111777.64,0.02619
213,1,4,2025-11-07,103.0,2795.33,362313.83,0.08489
214,1,6,2025-11-07,217.0,2618.1,485337.86,0.113715
215,1,7,2025-11-07,2216.0,145.06,321452.96,0.075317
216,1,17,2025-11-07,173.0,2386.68,470904.27,0.110333
217,1,21,2025-11-07,2147.0,276.83,431997.87,0.101217
218,1,24,2025-11-07,433.0,419.19,162011.28,0.037959
219,1,27,2025-11-07,103.0,1295.42,158293.49,0.037088
220,1,33,2025-11-07,415.0,1083.69,449731.35,0.105372
221,1,35,2025-11-07,2537.0,148.47,412693.79,0.096694
222,1,45,2025-11-07,696.0,493.15,366798.96,0.085941
223,1,1,2025-11-24,1126.0,307.5,369474.38,0.085029
224,1,2,2025-11-24,209.0,710.53,165237.49,0.038027
225,1,3,2025-11-24,52.0,2201.15,111777.64,0.025724
226,1,4,2025-11-24,103.0,2795.33,362313.83,0.083381
227,1,6,2025-11-24,217.0,2618.1,485337.86,0.111693
228,1,7,2025-11-24,2216.0,145.06,318040.32,0.073192
229,1,17,2025-11-24,173.0,2386.68,569652.67,0.131097
230,1,21,2025-11-24,2147.0,276.83,449281.22,0.103395
231,1,24,2025-11-24,433.0,419.19,162011.28,0.037284
232,1,27,2025-11-24,103.0,1295.42,158293.49,0.036429
233,1,33,2025-11-24,415.0,1083.69,449731.35,0.103499
234,1,35,2025-11-24,2537.0,148.47,377328.01,0.086836
235,1,45,2025-11-24,696.0,493.15,366798.96,0.084413
236,1,1,2025-11-25,1126.0,307.5,369474.38,0.085413
237,1,2,2025-11-25,209.0,710.53,165237.49,0.038199
238,1,3,2025-11-25,40.0,2201.15,92240.0,0.021324
239,1,4,2025-11-25,103.0,2795.33,362313.83,0.083758
240,1,6,2025-11-25,217.0,2618.1,485337.86,0.112198
241,1,7,2025-11-25,2216.0,145.06,318040.32,0.073523
242,1,17,2025-11-25,173.0,2386.68,569652.67,0.131689
243,1,21,2025-11-25,2147.0,276.83,449281.22,0.103862
244,1,24,2025-11-25,433.0,419.19,162011.28,0.037453
245,1,27,2025-11-25,103.0,1295.42,158293.49,0.036593
246,1,33,2025-11-25,415.0,1083.69,449731.35,0.103966
247,1,35,2025-11-25,2537.0,148.47,377328.01,0.087229
248,1,45,2025-11-25,696.0,493.15,366798.96,0.084794
249,1,1,2025-12-02,1126.0,307.5,369474.38,0.085629
250,1,2,2025-12-02,209.0,710.53,165237.49,0.038295
251,1,3,2025-12-02,40.0,2201.15,92240.0,0.021378
252,1,4,2025-12-02,103.0,2795.33,351381.41,0.081436
253,1,6,2025-12-02,217.0,2618.1,485337.86,0.112482
254,1,7,2025-12-02,2216.0,145.06,318040.32,0.073709
255,1,17,2025-12-02,173.0,2386.68,569652.67,0.132023
256,1,21,2025-12-02,2147.0,276.83,449281.22,0.104125
257,1,24,2025-12-02,433.0,419.19,162011.28,0.037548
258,1,27,2025-12-02,103.0,1295.42,158293.49,0.036686
259,1,33,2025-12-02,415.0,1083.69,449731.35,0.10423
260,1,35,2025-12-02,2537.0,148.47,377328.01,0.08745
261,1,45,2025-12-02,696.0,493.15,366798.96,0.085009
262,1,1,2025-12-10,1126.0,307.5,369474.38,0.085459
263,1,2,2025-12-10,209.0,710.53,173821.12,0.040205
264,1,3,2025-12-10,40.0,2201.15,92240.0,0.021335
265,1,4,2025-12-10,103.0,2795.33,351381.41,0.081274
266,1,6,2025-12-10,217.0,2618.1,485337.86,0.112259
267,1,7,2025-12-10,2216.0,145.06,318040.32,0.073563
268,1,17,2025-12-10,173.0,2386.68,569652.67,0.131761
269,1,21,2025-12-10,2147.0,276.83,449281.22,0.103919
270,1,24,2025-12-10,433.0,419.19,162011.28,0.037473
271,1,27,2025-12-10,103.0,1295.42,158293.49,0.036613
272,1,33,2025-12-10,415.0,1083.69,449731.35,0.104023
273,1,35,2025-12-10,2537.0,148.47,377328.01,0.087276
274,1,45,2025-12-10,696.0,493.15,366798.96,0.084841
275,1,1,2025-12-15,1126.0,307.5,369474.38,0.085299
276,1,2,2025-12-15,209.0,710.53,173821.12,0.040129
277,1,3,2025-12-15,40.0,2201.15,92240.0,0.021295
278,1,4,2025-12-15,103.0,2795.33,359524.59,0.083002
279,1,6,2025-12-15,217.0,2618.1,485337.86,0.112048
280,1,7,2025-12-15,2216.0,145.06,318040.32,0.073424
281,1,17,2025-12-15,173.0,2386.68,569652.67,0.131513
282,1,21,2025-12-15,2147.0,276.83,449281.22,0.103723
283,1,24,2025-12-15,433.0,419.19,162011.28,0.037403
284,1,27,2025-12-15,103.0,1295.42,158293.49,0.036544
285,1,33,2025-12-15,415.0,1083.69,449731.35,0.103827
286,1,35,2025-12-15,2537.0,148.47,377328.01,0.087112
287,1,45,2025-12-15,696.0,493.15,366798.96,0.084681
288,1,1,2025-12-25,1126.0,307.5,369474.38,0.079131
289,1,2,2025-12-25,209.0,710.53,173821.12,0.037228
290,1,3,2025-12-25,40.0,2201.15,92240.0,0.019755
291,1,4,2025-12-25,103.0,2795.33,359524.59,0.077001
292,1,6,2025-12-25,217.0,2618.1,485337.86,0.103946
293,1,7,2025-12-25,4164.0,147.904342,629346.96,0.134789
294,1,17,2025-12-25,173.0,2386.68,569652.67,0.122004
295,1,21,2025-12-25,2147.0,276.83,449281.22,0.096224
296,1,24,2025-12-25,433.0,419.19,162011.28,0.034698
297,1,27,2025-12-25,103.0,1295.42,171019.14,0.036628
298,1,33,2025-12-25,415.0,1083.69,482665.75,0.103374
299,1,35,2025-12-25,2537.0,148.47,357945.33,0.076662
300,1,45,2025-12-25,696.0,493.15,366798.96,0.078558
301,1,1,2026-01-16,1126.0,307.5,369474.38,0.079837
302,1,2,2026-01-16,209.0,710.53,173821.12,0.03756
303,1,3,2026-01-16,40.0,2201.15,92240.0,0.019932
304,1,4,2026-01-16,103.0,2795.33,389423.43,0.084148
305,1,6,2026-01-16,217.0,2618.1,485337.86,0.104874
306,1,7,2026-01-16,4164.0,147.904342,610359.12,0.131889
307,1,17,2026-01-16,173.0,2386.68,549956.62,0.118837
308,1,21,2026-01-16,2147.0,276.83,449281.22,0.097082
309,1,24,2026-01-16,433.0,419.19,151207.93,0.032674
310,1,27,2026-01-16,103.0,1295.42,171019.14,0.036954
311,1,33,2026-01-16,415.0,1083.69,460973.7,0.099609
312,1,35,2026-01-16,2537.0,148.47,357945.33,0.077346
313,1,45,2026-01-16,696.0,493.15,366798.96,0.079259
314,1,1,2026-01-20,1126.0,307.5,401993.26,0.086258
315,1,2,2026-01-20,209.0,710.53,173821.12,0.037298
316,1,3,2026-01-20,40.0,2201.15,92240.0,0.019792
317,1,4,2026-01-20,103.0,2795.33,389423.43,0.083561
318,1,6,2026-01-20,217.0,2618.1,485337.86,0.104142
319,1,7,2026-01-20,4164.0,147.904342,610359.12,0.130968
320,1,17,2026-01-20,173.0,2386.68,549956.62,0.118007
321,1,21,2026-01-20,2147.0,276.83,449281.22,0.096405
322,1,24,2026-01-20,433.0,419.19,151207.93,0.032446
323,1,27,2026-01-20,103.0,1295.42,171019.14,0.036697
324,1,33,2026-01-20,415.0,1083.69,460973.7,0.098914
325,1,35,2026-01-20,2537.0,148.47,357945.33,0.076806
326,1,45,2026-01-20,696.0,493.15,366798.96,0.078706
327,1,1,2026-01-21,1637.0,324.880867,594525.66,0.122184
328,1,2,2026-01-21,209.0,710.53,173821.12,0.035723
329,1,3,2026-01-21,40.0,2201.15,92240.0,0.018957
330,1,4,2026-01-21,103.0,2795.33,402360.23,0.082691
331,1,6,2026-01-21,217.0,2618.1,485337.86,0.099744
332,1,7,2026-01-21,4164.0,147.904342,610359.12,0.125438
333,1,17,2026-01-21,173.0,2386.68,549956.62,0.113024
334,1,21,2026-01-21,2147.0,276.83,449281.22,0.092334
335,1,24,2026-01-21,433.0,419.19,151207.93,0.031075
336,1,27,2026-01-21,103.0,1295.42,171019.14,0.035147
337,1,33,2026-01-21,415.0,1083.69,460973.7,0.094737
338,1,35,2026-01-21,2537.0,148.47,357945.33,0.073563
339,1,45,2026-01-21,696.0,493.15,366798.96,0.075383
340,1,1,2026-01-29,1637.0,324.880867,585456.68,0.115564
341,1,2,2026-01-29,209.0,710.53,173821.12,0.034311
342,1,3,2026-01-29,40.0,2201.15,92240.0,0.018207
343,1,4,2026-01-29,103.0,2795.33,402360.23,0.079422
344,1,6,2026-01-29,217.0,2618.1,485337.86,0.095801
345,1,7,2026-01-29,4164.0,147.904342,610359.12,0.120479
346,1,17,2026-01-29,173.0,2386.68,549956.62,0.108556
347,1,21,2026-01-29,2147.0,276.83,449281.22,0.088684
348,1,24,2026-01-29,433.0,419.19,151207.93,0.029847
349,1,27,2026-01-29,103.0,1295.42,171019.14,0.033758
350,1,33,2026-01-29,415.0,1083.69,460973.7,0.090992
351,1,35,2026-01-29,2537.0,148.47,357945.33,0.070655
352,1,45,2026-01-29,1274.0,474.580502,576128.28,0.113723
353,1,1,2026-02-02,1637.0,324.880867,572606.23,0.113441
354,1,2,2026-02-02,209.0,710.53,173821.12,0.034436
355,1,3,2026-02-02,40.0,2201.15,87575.2,0.01735
356,1,4,2026-02-02,103.0,2795.33,402360.23,0.079713
357,1,6,2026-02-02,217.0,2618.1,485337.86,0.096152
358,1,7,2026-02-02,4164.0,147.904342,610359.12,0.120921
359,1,17,2026-02-02,173.0,2386.68,548977.44,0.10876
360,1,21,2026-02-02,2147.0,276.83,449281.22,0.089009
361,1,24,2026-02-02,433.0,419.19,151207.93,0.029956
362,1,27,2026-02-02,103.0,1295.42,171019.14,0.033881
363,1,33,2026-02-02,415.0,1083.69,460973.7,0.091325
364,1,35,2026-02-02,2537.0,148.47,357945.33,0.070914
365,1,45,2026-02-02,1274.0,474.580502,576128.28,0.114139
366,1,1,2026-02-27,1637.0,324.880867,574832.55,0.111022
367,1,2,2026-02-27,209.0,710.53,173821.12,0.033571
368,1,3,2026-02-27,40.0,2201.15,92733.2,0.01791
369,1,4,2026-02-27,103.0,2795.33,368955.27,0.071259
370,1,6,2026-02-27,217.0,2618.1,566812.68,0.109473
371,1,7,2026-02-27,4164.0,147.904342,610359.12,0.117883
372,1,17,2026-02-27,173.0,2386.68,548077.84,0.105855
373,1,21,2026-02-27,2147.0,276.83,449281.22,0.086773
374,1,24,2026-02-27,433.0,419.19,151207.93,0.029204
375,1,27,2026-02-27,103.0,1295.42,171019.14,0.03303
376,1,33,2026-02-27,415.0,1083.69,460973.7,0.089031
377,1,35,2026-02-27,2537.0,148.47,433446.45,0.083715
378,1,45,2026-02-27,1274.0,474.580502,576128.28,0.111272
379,1,1,2026-04-06,1637.0,324.880867,594623.88,0.11453
380,1,2,2026-04-06,209.0,710.53,173821.12,0.03348
381,1,3,2026-04-06,40.0,2201.15,92733.2,0.017861
382,1,4,2026-04-06,103.0,2795.33,368955.27,0.071064
383,1,6,2026-04-06,217.0,2618.1,566812.68,0.109174
384,1,7,2026-04-06,4164.0,147.904342,642838.32,0.123817
385,1,17,2026-04-06,173.0,2386.68,548077.84,0.105565
386,1,21,2026-04-06,2147.0,276.83,459651.23,0.088533
387,1,24,2026-04-06,433.0,419.19,137784.93,0.026539
388,1,27,2026-04-06,103.0,1295.42,162920.25,0.03138
389,1,33,2026-04-06,415.0,1083.69,428072.5,0.082451
390,1,35,2026-04-06,2537.0,148.47,433446.45,0.083486
391,1,45,2026-04-06,1274.0,474.580502,582103.34,0.112119
392,1,1,2026-05-05,1637.0,324.880867,578548.54,0.107342
393,1,2,2026-05-05,209.0,710.53,164031.56,0.030434
394,1,3,2026-05-05,40.0,2201.15,96922.4,0.017983
395,1,4,2026-05-05,103.0,2795.33,376848.16,0.069919
396,1,6,2026-05-05,217.0,2618.1,636688.85,0.118129
397,1,7,2026-05-05,4164.0,147.904342,664116.36,0.123218
398,1,17,2026-05-05,173.0,2386.68,548077.84,0.101688
399,1,21,2026-05-05,2147.0,276.83,498919.86,0.092568
400,1,24,2026-05-05,433.0,419.19,137784.93,0.025564
401,1,27,2026-05-05,103.0,1295.42,162920.25,0.030228
402,1,33,2026-05-05,415.0,1083.69,514089.55,0.095382
403,1,35,2026-05-05,2537.0,148.47,420482.38,0.078015
404,1,45,2026-05-05,1274.0,474.580502,590346.12,0.109531
405,1,1,2026-05-15,1637.0,324.880867,577746.41,0.095753
406,1,2,2026-05-15,209.0,710.53,158355.12,0.026245
407,1,3,2026-05-15,40.0,2201.15,96922.4,0.016063
408,1,4,2026-05-15,103.0,2795.33,376848.16,0.062457
409,1,6,2026-05-15,217.0,2618.1,636688.85,0.105522
410,1,7,2026-05-15,4164.0,147.904342,664116.36,0.110067
411,1,17,2026-05-15,173.0,2386.68,548077.84,0.090836
412,1,21,2026-05-15,2147.0,276.83,498919.86,0.082689
413,1,24,2026-05-15,433.0,419.19,160106.08,0.026535
414,1,27,2026-05-15,484.0,1513.825888,761269.08,0.126169
415,1,33,2026-05-15,415.0,1083.69,514089.55,0.085203
416,1,35,2026-05-15,2537.0,148.47,450241.39,0.074621
417,1,45,2026-05-15,1274.0,474.580502,590346.12,0.097841
418,1,1,2026-05-21,1637.0,324.880867,583705.09,0.096648
419,1,2,2026-05-21,209.0,710.53,158355.12,0.02622
420,1,3,2026-05-21,40.0,2201.15,104346.0,0.017277
421,1,4,2026-05-21,103.0,2795.33,376848.16,0.062397
422,1,6,2026-05-21,217.0,2618.1,636688.85,0.10542
423,1,7,2026-05-21,4164.0,147.904342,664116.36,0.109962
424,1,17,2026-05-21,173.0,2386.68,548077.84,0.090749
425,1,21,2026-05-21,2147.0,276.83,498919.86,0.082609
426,1,24,2026-05-21,433.0,419.19,152519.92,0.025254
427,1,27,2026-05-21,484.0,1513.825888,761269.08,0.126048
428,1,33,2026-05-21,415.0,1083.69,514089.55,0.085121
429,1,35,2026-05-21,2537.0,148.47,450241.39,0.074549
430,1,45,2026-05-21,1274.0,474.580502,590346.12,0.097747
431,1,1,2026-06-02,1637.0,324.880867,583705.09,0.095727
432,1,2,2026-06-02,209.0,710.53,158355.12,0.02597
433,1,3,2026-06-02,40.0,2201.15,99426.0,0.016306
434,1,4,2026-06-02,103.0,2795.33,376848.16,0.061803
435,1,6,2026-06-02,217.0,2618.1,631420.09,0.103552
436,1,7,2026-06-02,4164.0,147.904342,664116.36,0.108915
437,1,17,2026-06-02,173.0,2386.68,618227.61,0.101389
